緯度,経度,コースコード,配達順
35.89315983,139.799225,101,1
35.894041,139.8047608,101,2
35.89423817,139.7983711,101,3
35.89219652,139.8011166,101,4
35.891789,139.799781,101,5
35.89171536,139.8005883,101,6
35.89159323,139.8007952,101,7
,,101,8
35.891434,139.803574,101,9
35.89182886,139.8051453,101,10
35.891743,139.806823,101,11
35.89216189,139.8065576,101,12
,,101,13
35.89464006,139.8081969,101,14
35.89380446,139.8065025,101,15
35.89451476,139.8108051,101,16
35.89801277,139.8085839,101,17
35.901069,139.811883,101,18
,,101,19
,,101,20
35.902488,139.804331,101,21
35.90273881,139.8059338,101,22
35.90251735,139.8052893,101,23
,,101,24
35.900144,139.805035,101,25
35.89944677,139.8051775,101,26
35.89917127,139.8036861,101,27
35.89855161,139.8043191,101,28
35.8977552,139.8044064,101,29
35.89647444,139.8024094,101,30
35.896311,139.802797,101,31
,,101,32
35.89688119,139.802345,101,33
35.89674821,139.8014599,101,34
35.89655301,139.8011598,101,35
35.89693507,139.8004782,101,36
35.897256,139.801456,101,37
35.897356,139.801395,101,38
35.8979893,139.8012078,101,39
,,101,40
,,101,41
35.89435225,139.7988577,101,42
35.896761,139.79862,101,43
35.898124,139.798087,101,44
35.898239,139.798093,101,45
35.899675,139.797854,101,46
35.901122,139.798734,101,47
35.901459,139.799261,101,48
35.90019925,139.7988726,101,49
35.900519,139.80035,101,50
35.901927,139.803408,101,51
35.901255,139.8016,101,52
35.902134,139.80014,101,53
35.90235208,139.8008913,101,54
35.902977,139.802067,101,55
35.902266,139.801386,101,56
35.902219,139.802937,101,57
35.902007,139.802498,101,58
35.900433,139.802423,101,59
35.899723,139.801123,101,60
35.89895489,139.8002318,101,61
35.89895885,139.8011859,101,62
35.89616662,139.8045784,101,63
35.89520552,139.8047805,101,64
35.890084,139.798557,101,65
,,101,66
35.90297032,139.7791638,102,1
35.90392069,139.7785649,102,2
35.90181489,139.7787295,102,3
35.902304,139.775828,102,4
35.901824,139.774515,102,5
,,102,6
35.90076065,139.7735813,102,7
35.900019,139.772996,102,8
35.900019,139.772996,102,9
35.900938,139.772109,102,10
35.90133962,139.7730231,102,11
35.902207,139.7732,102,12
35.903161,139.77368,102,13
,,102,14
35.902046,139.775723,102,15
,,102,16
35.91063628,139.7796716,102,17
35.911798,139.779639,102,18
35.885819,139.786484,102,19
35.91324232,139.7746164,102,20
35.914088,139.775369,102,21
35.914868,139.77705,102,22
35.9159212,139.7755927,102,23
35.915405,139.775682,102,24
35.916594,139.776485,102,25
35.916688,139.77656,102,26
35.91643231,139.7764972,102,27
35.937634,139.778972,102,28
35.918808,139.77867,102,29
35.91850157,139.7791583,102,30
35.917123,139.779013,102,31
35.915588,139.780072,102,32
35.91882787,139.7801887,102,33
,,102,34
35.91857242,139.7834895,102,35
35.92153761,139.7853398,102,36
35.91698,139.786292,102,37
35.917533,139.785429,102,38
35.917652,139.785431,102,39
35.91494229,139.7824306,102,40
35.91473137,139.7825224,102,41
35.914844,139.782121,102,42
35.914786,139.781907,102,43
35.914691,139.781571,102,44
35.91458397,139.7820374,102,45
35.91433611,139.7821116,102,46
35.91383468,139.7821209,102,47
35.91378803,139.7832022,102,48
35.91138104,139.7813058,102,49
35.911025,139.782358,102,50
35.910289,139.782404,102,51
35.90975169,139.7818818,102,52
35.908592,139.781835,102,53
35.908592,139.781835,102,54
35.908592,139.781835,102,55
35.90796597,139.7816759,102,56
35.90856374,139.782291,102,57
35.90846024,139.7821684,102,58
35.908148,139.781838,102,59
35.908148,139.781838,102,60
35.92021036,139.7823888,102,61
35.919002,139.779301,102,62
35.90666943,139.7762949,103,1
35.9073681,139.7767085,103,2
35.906326,139.773726,103,3
35.90658313,139.7740702,103,4
35.90752484,139.7745499,103,5
35.908445,139.774191,103,6
35.90876026,139.7735452,103,7
35.90760428,139.7735776,103,8
35.905923,139.772617,103,9
35.907081,139.772444,103,10
35.910536,139.7720524,103,11
35.910266,139.770864,103,12
35.910901,139.7712449,103,13
35.909506,139.770811,103,14
35.90905966,139.7712407,103,15
,,103,16
35.90535727,139.7704417,103,17
35.90487843,139.7710235,103,18
35.90346877,139.7704305,103,19
35.903838,139.770177,103,20
35.90297031,139.7698056,103,21
,,103,22
,,103,23
,,103,24
35.899068,139.779489,103,25
,,103,26
35.896401,139.779446,103,27
36.06150747,139.5218901,103,28
35.895986,139.7807533,103,29
35.896329,139.778977,103,30
35.8973114,139.7782159,103,31
,,103,32
,,103,33
35.897319,139.776528,103,34
35.899206,139.773844,103,35
35.89573,139.772525,103,36
35.896441,139.773475,103,37
35.89609358,139.7747541,103,38
35.89505,139.773481,103,39
35.894933,139.77297,103,40
35.89373928,139.7742462,103,41
,,103,42
35.89343,139.774581,103,43
35.892489,139.775456,103,44
35.892025,139.776333,103,45
,,103,46
35.89290489,139.7784787,103,47
35.893608,139.7793,103,48
35.8917448,139.7803652,103,49
35.889264,139.779117,103,50
35.89051019,139.7800892,103,51
,,103,52
35.890242,139.777786,103,53
35.89162,139.776764,103,54
35.890704,139.775262,103,55
35.89216861,139.7749229,103,56
35.890984,139.774198,103,57
35.888812,139.774973,103,58
35.889087,139.774884,103,59
35.88845069,139.7766667,103,60
35.888329,139.776484,103,61
35.887034,139.777175,103,62
35.885826,139.775823,103,63
35.883726,139.775331,103,64
35.82537131,139.6668797,103,65
,,131,1
35.862663,139.785722,131,2
,,131,3
35.87961928,139.7938162,131,4
35.87961928,139.7938162,131,5
35.87961928,139.7938162,131,6
35.87961928,139.7938162,131,7
35.87961928,139.7938162,131,8
35.87961928,139.7938162,131,9
35.87954915,139.7932684,131,10
35.87961928,139.7938162,131,11
35.87961928,139.7938162,131,12
35.88048152,139.7937694,131,13
35.88045761,139.7935548,131,14
35.88060969,139.793424,131,15
35.88071835,139.7934401,131,16
,,131,17
,,131,18
35.87999942,139.7960121,131,19
35.880222,139.795996,131,20
35.87999942,139.7960121,131,21
,,131,22
,,131,23
35.8812547,139.79572,131,24
35.87999942,139.7960121,131,25
35.87999942,139.7960121,131,26
35.87999291,139.7979369,131,27
35.884766,139.802187,131,28
35.88489617,139.802379,131,29
35.88552169,139.8030748,131,30
35.885818,139.803015,131,31
35.885405,139.800787,131,32
35.885699,139.799787,131,33
35.88626,139.799695,131,34
35.88591,139.799962,131,35
35.885854,139.79709,131,36
35.886235,139.797485,131,37
35.886588,139.797851,131,38
35.88633813,139.7954249,131,39
35.8863596,139.7957401,131,40
35.8863596,139.7957401,131,41
35.8863596,139.7957401,131,42
35.8875021,139.7949605,131,43
35.88749192,139.7953766,131,44
35.88389538,139.795044,131,45
35.8862795,139.7943433,131,46
35.886479,139.794429,131,47
35.886307,139.792841,131,48
35.886162,139.792739,131,49
35.88708894,139.792739,131,50
35.887458,139.793372,131,51
,,131,52
35.881685,139.813723,132,1
35.88227002,139.8141146,132,2
35.882082,139.813358,132,3
35.883693,139.813552,132,4
35.883204,139.810736,132,5
35.883433,139.810731,132,6
35.8826414,139.8107742,132,7
35.881893,139.811542,132,8
,,132,9
35.88059231,139.8145598,132,10
35.87999,139.813647,132,11
35.880406,139.833794,132,12
35.882305,139.834153,132,13
35.88488998,139.8350079,132,14
35.88524289,139.8336732,132,15
35.885008,139.833895,132,16
35.89274844,139.8368597,132,17
35.891814,139.831418,132,18
35.89318476,139.8280503,132,19
35.891976,139.827276,132,20
