緯度,経度,コースコード,配達順,地点名,住所
35.6928139,139.7783729,C001,1,,
35.6943637,139.7793771,C001,2,,
35.6955297,139.7807394,C001,3,,
35.697337,139.7821565,C001,4,,
35.6987404,139.7828551,C001,5,,
35.7003929,139.7842555,C001,6,,
35.7018412,139.7855598,C001,7,,
35.7033018,139.7865318,C001,8,,
35.7047101,139.7877202,C001,9,,
35.7062063,139.7888575,C001,10,,
35.7078985,139.7902905,C001,11,,
35.7091084,139.7917905,C001,12,,
35.7105343,139.7925911,C001,13,,
35.7121907,139.7937675,C001,14,,
35.7135991,139.7950318,C001,15,,
35.7150924,139.7966219,C001,16,,
35.7169863,139.797597,C001,17,,
35.718531,139.7988695,C001,18,,
35.7194614,139.8002145,C001,19,,
35.7209529,139.8012032,C001,20,,
35.7226338,139.8023335,C001,21,,
35.7245356,139.8033155,C001,22,,
35.7256504,139.8049189,C001,23,,
35.7271788,139.80597,C001,24,,
35.7287568,139.8070885,C001,25,,
35.7300294,139.8084891,C001,26,,
35.7314386,139.809525,C001,27,,
35.7331614,139.8105029,C001,28,,
35.7345679,139.8121467,C001,29,,
35.7365195,139.8133118,C001,30,,
35.7377368,139.814185,C001,31,,
35.7395332,139.8156097,C001,32,,
35.7407127,139.817023,C001,33,,
35.7422828,139.8181623,C001,34,,
35.7437426,139.8188811,C001,35,,
35.7449804,139.8203947,C001,36,,
35.7469762,139.8216697,C001,37,,
35.7480047,139.8229261,C001,38,,
35.7496602,139.8239201,C001,39,,
35.7512305,139.8249508,C001,40,,
35.7527275,139.8264193,C001,41,,
35.7539477,139.8276184,C001,42,,
35.755894,139.8284672,C001,43,,
35.7571926,139.8300623,C001,44,,
35.758892,139.8311624,C001,45,,
35.7605313,139.8322333,C001,46,,
35.7618541,139.8334145,C001,47,,
35.7629868,139.834783,C001,48,,
35.7647074,139.8362028,C001,49,,
35.7661871,139.8371458,C001,50,,
35.7025869,139.7880414,C002,1,,
35.704495,139.7896482,C002,2,,
35.7059287,139.7905443,C002,3,,
35.7071132,139.7919708,C002,4,,
35.7089759,139.7933289,C002,5,,
35.710238,139.7940309,C002,6,,
35.7119608,139.7954948,C002,7,,
35.7133003,139.7965207,C002,8,,
35.7149692,139.797627,C002,9,,
35.7163085,139.7990901,C002,10,,
35.7180189,139.8005575,C002,11,,
35.719283,139.8017815,C002,12,,
35.7205257,139.802629,C002,13,,
35.722288,139.8041475,C002,14,,
35.7239412,139.8051359,C002,15,,
35.7253496,139.8063264,C002,16,,
35.7265168,139.8077747,C002,17,,
35.7280044,139.8086797,C002,18,,
35.7294764,139.8101088,C002,19,,
35.7312639,139.8110432,C002,20,,
35.7326444,139.8126247,C002,21,,
35.7345025,139.813459,C002,22,,
35.7357975,139.8146463,C002,23,,
35.7372495,139.8159347,C002,24,,
35.738799,139.8172137,C002,25,,
35.7403087,139.8182141,C002,26,,
35.7419379,139.8192763,C002,27,,
35.7433629,139.8209504,C002,28,,
35.7450274,139.8216675,C002,29,,
35.7461492,139.822878,C002,30,,
35.7478641,139.8245209,C002,31,,
35.7491541,139.8252843,C002,32,,
35.7506405,139.8265582,C002,33,,
35.7521668,139.8276718,C002,34,,
35.7537495,139.8294079,C002,35,,
35.7552489,139.8303407,C002,36,,
35.7565307,139.8317164,C002,37,,
35.7579919,139.8327682,C002,38,,
35.760003,139.8340357,C002,39,,
35.7613282,139.8348321,C002,40,,
35.7625253,139.8366198,C002,41,,
35.7643511,139.837499,C002,42,,
35.7657477,139.8386178,C002,43,,
35.7673154,139.8398896,C002,44,,
35.7688496,139.8412455,C002,45,,
35.7701905,139.8422601,C002,46,,
35.7720239,139.8437272,C002,47,,
35.7730012,139.8449057,C002,48,,
35.7747225,139.845894,C002,49,,
35.7762106,139.8469726,C002,50,,
35.7126128,139.798539,C003,1,,
35.7142226,139.7992849,C003,2,,
35.7159356,139.8008645,C003,3,,
35.7171379,139.8016932,C003,4,,
35.718905,139.8029808,C003,5,,
35.7203183,139.8045556,C003,6,,
35.7219902,139.8053193,C003,7,,
35.7232041,139.8065424,C003,8,,
35.7248753,139.8080881,C003,9,,
35.7265338,139.8092265,C003,10,,
35.7279176,139.8102543,C003,11,,
35.7295037,139.8113635,C003,12,,
35.7306988,139.8124743,C003,13,,
35.7322938,139.8137443,C003,14,,
35.7338533,139.8149699,C003,15,,
35.7354154,139.8165063,C003,16,,
35.7369491,139.8172422,C003,17,,
35.7379374,139.8188101,C003,18,,
35.739489,139.819808,C003,19,,
35.7415281,139.8208268,C003,20,,
35.7425406,139.822608,C003,21,,
35.7441798,139.8232541,C003,22,,
35.7460256,139.8245078,C003,23,,
35.7470772,139.8259231,C003,24,,
35.7485923,139.8272331,C003,25,,
35.7500019,139.8284552,C003,26,,
35.7514783,139.8292538,C003,27,,
35.753219,139.8309252,C003,28,,
35.7548685,139.8322005,C003,29,,
35.7563985,139.8330284,C003,30,,
35.7577107,139.8340822,C003,31,,
35.7593761,139.8353774,C003,32,,
35.760974,139.8366173,C003,33,,
35.7623665,139.837895,C003,34,,
35.763685,139.8391418,C003,35,,
35.7652465,139.8404636,C003,36,,
35.7666549,139.8412494,C003,37,,
35.7682871,139.8425238,C003,38,,
35.7696037,139.8437439,C003,39,,
35.7713816,139.8449312,C003,40,,
35.7726575,139.8464078,C003,41,,
35.7740283,139.8475549,C003,42,,
35.7759995,139.8489341,C003,43,,
35.7774923,139.8500552,C003,44,,
35.7784885,139.850908,C003,45,,
35.7799427,139.8526022,C003,46,,
35.7816756,139.8535426,C003,47,,
35.7830645,139.8547547,C003,48,,
35.7846043,139.856186,C003,49,,
35.7862705,139.8574004,C003,50,,
35.7229486,139.8082041,C004,1,,
35.7241364,139.8096046,C004,2,,
35.7258975,139.810436,C004,3,,
35.7274414,139.8117201,C004,4,,
35.7284724,139.8131363,C004,5,,
35.7299404,139.814329,C004,6,,
35.7316547,139.8152757,C004,7,,
35.7334318,139.816942,C004,8,,
35.7347666,139.8179598,C004,9,,
35.736284,139.8193957,C004,10,,
35.737503,139.8201588,C004,11,,
35.7389435,139.8216839,C004,12,,
35.7407733,139.8224681,C004,13,,
35.7423932,139.824003,C004,14,,
35.7439582,139.8252356,C004,15,,
35.7450959,139.8263547,C004,16,,
35.7469868,139.8274236,C004,17,,
35.7484863,139.8288859,C004,18,,
35.7496037,139.8300639,C004,19,,
35.7512359,139.8313101,C004,20,,
35.7528693,139.8321466,C004,21,,
35.7540671,139.8335745,C004,22,,
35.7556544,139.8347242,C004,23,,
35.7572726,139.8356869,C004,24,,
35.7587627,139.8371541,C004,25,,
35.7602438,139.8386202,C004,26,,
35.7618839,139.839336,C004,27,,
35.7630702,139.8406075,C004,28,,
35.7649783,139.8420569,C004,29,,
35.766162,139.8430574,C004,30,,
35.7677477,139.8444117,C004,31,,
35.7693707,139.8454966,C004,32,,
35.7707402,139.8469697,C004,33,,
35.7723771,139.8480812,C004,34,,
35.773481,139.8488258,C004,35,,
35.7750842,139.8501852,C004,36,,
35.7769171,139.8516634,C004,37,,
35.7782249,139.8528198,C004,38,,
35.7797216,139.8540071,C004,39,,
35.7813019,139.8554115,C004,40,,
35.7829214,139.856141,C004,41,,
35.7839704,139.8577725,C004,42,,
35.7859936,139.8587614,C004,43,,
35.7874364,139.8596712,C004,44,,
35.7888118,139.8608853,C004,45,,
35.790118,139.8624757,C004,46,,
35.7918037,139.8637775,C004,47,,
35.7934653,139.8644829,C004,48,,
35.794769,139.8659995,C004,49,,
35.796407,139.8668927,C004,50,,
35.7327503,139.8185202,C005,1,,
35.7344047,139.8194501,C005,2,,
35.73569,139.8209392,C005,3,,
35.7371561,139.8218323,C005,4,,
35.7387673,139.8231313,C005,5,,
35.7400006,139.8242391,C005,6,,
35.7419367,139.8254481,C005,7,,
35.7431316,139.8269156,C005,8,,
35.7446247,139.8280603,C005,9,,
35.7462659,139.8290497,C005,10,,
35.7476338,139.8304386,C005,11,,
35.7495142,139.8316159,C005,12,,
35.7506145,139.832427,C005,13,,
35.7519865,139.8336359,C005,14,,
35.753994,139.8352735,C005,15,,
35.7549818,139.8360458,C005,16,,
35.7569848,139.8373311,C005,17,,
35.7580427,139.8385634,C005,18,,
35.759827,139.8397772,C005,19,,
35.7614909,139.8409308,C005,20,,
35.7629958,139.8425991,C005,21,,
35.7640294,139.8435079,C005,22,,
35.7655351,139.844923,C005,23,,
35.7675235,139.8460256,C005,24,,
35.768557,139.8469705,C005,25,,
35.7704091,139.8484924,C005,26,,
35.7717556,139.849372,C005,27,,
35.773288,139.8506846,C005,28,,
35.7746239,139.8517556,C005,29,,
35.7759448,139.8530168,C005,30,,
35.7778082,139.8542639,C005,31,,
35.7795147,139.8553096,C005,32,,
35.7808671,139.8568303,C005,33,,
35.782073,139.8582191,C005,34,,
35.7836226,139.8590365,C005,35,,
35.7849394,139.8602515,C005,36,,
35.7865773,139.8613751,C005,37,,
35.7882241,139.862946,C005,38,,
35.7899035,139.8639384,C005,39,,
35.7914606,139.8649643,C005,40,,
35.7929235,139.8662711,C005,41,,
35.7942769,139.8672699,C005,42,,
35.7954394,139.8685076,C005,43,,
35.7973396,139.8701529,C005,44,,
35.7989653,139.8710211,C005,45,,
35.8000645,139.8724299,C005,46,,
35.8019561,139.8734716,C005,47,,
35.8032125,139.8749494,C005,48,,
35.8046402,139.8760386,C005,49,,
35.8059505,139.8773879,C005,50,,
35.7427109,139.8284299,C006,1,,
35.7440656,139.8292254,C006,2,,
35.74592,139.8306917,C006,3,,
35.747365,139.8316456,C006,4,,
35.7487298,139.832991,C006,5,,
35.7502448,139.8342939,C006,6,,
35.7515739,139.8357371,C006,7,,
35.7531609,139.8365154,C006,8,,
35.7549961,139.8380724,C006,9,,
35.7560289,139.8390746,C006,10,,
35.7579957,139.8405827,C006,11,,
35.759277,139.8415716,C006,12,,
35.7605187,139.8429882,C006,13,,
35.762484,139.8442021,C006,14,,
35.7635103,139.8449221,C006,15,,
35.7650996,139.8461359,C006,16,,
35.7665549,139.8477204,C006,17,,
35.7680044,139.8486351,C006,18,,
35.7700156,139.8501303,C006,19,,
35.7710775,139.8511888,C006,20,,
35.7726404,139.8525715,C006,21,,
35.7742931,139.8535276,C006,22,,
35.7758315,139.854666,C006,23,,
35.777095,139.8556884,C006,24,,
35.7789443,139.8573024,C006,25,,
35.7804888,139.8583818,C006,26,,
35.7819159,139.8595286,C006,27,,
35.7832474,139.8610066,C006,28,,
35.7845869,139.8620565,C006,29,,
35.7860694,139.8629242,C006,30,,
35.7877603,139.8645539,C006,31,,
35.7890893,139.8657089,C006,32,,
35.7908672,139.8669103,C006,33,,
35.7920169,139.867853,C006,34,,
35.7937974,139.8693439,C006,35,,
35.7955313,139.8701181,C006,36,,
35.7968883,139.871792,C006,37,,
35.7981382,139.8729844,C006,38,,
35.799641,139.8736257,C006,39,,
35.8010096,139.8748478,C006,40,,
35.8027946,139.8764323,C006,41,,
35.8039999,139.8772461,C006,42,,
35.8054723,139.8790103,C006,43,,
35.8069934,139.8800665,C006,44,,
35.8086173,139.8811813,C006,45,,
35.8103738,139.8820556,C006,46,,
35.8115056,139.88333,C006,47,,
35.813525,139.8846796,C006,48,,
35.8147181,139.8859307,C006,49,,
35.8161932,139.8871779,C006,50,,
35.7524744,139.8381135,C007,1,,
35.7544298,139.8394203,C007,2,,
35.7559959,139.8409357,C007,3,,
35.7571439,139.8418118,C007,4,,
